# ========== template ===========

# navigation
"Home","首页"

"Latest","最近更新"
"Popular","热门更新"
"Following"," 已关注 "
"Nodes","节点"
"Create Topic","发表话题"
"Setting","设置"
"Signin","登录"
"Signout","退出"
"Notification","消息"
"New Topic","创建话题"

"Node","节点"
"Member","会员"
"Members","会员"
"Topic","话题"
"Reply","回复"

# signup signin setting
"Account","帐户"
"Password","密码"
"Signup","注册"
"Free Signup","免费注册"
"Don't have an account?","还没有帐户？"
"Email","邮箱"
"Confirm Password","确认密码"
"Old Password","原密码"
"New Password","新密码"
"Username","用户名"
"Nickname","昵称"
"Website","个人网站"
"Douban Website","豆瓣个人主页"
"Only English 3-20 chinese or english characters or digits are accepted.","只允许填写3-20位中英文字符和数字"
"Only English 3-20 english characters or digits are accepted.","只允许填写3-20位英文字符和数字"
"Save","保存"
"Submit","提交"
"Reback","返回"
"Search","搜索"

"Already have an account?","已经有帐号？"
"Login with douban account","使用豆瓣帐号登录"
"Login with weibo account","使用新浪微博帐号登录"
"Signup successful","注册成功"
# topic
"Topics","话题"
"Edit","编辑"
"Move","移动"
"Delete","删除"
"Write","编写"
"Preview","预览"
"Upload","上传"
"Upload Image","上传图片"
"Post","发布"
"Comment","评论"

"Want to comment ?","想要评论？"
"Edit Topic","编辑话题"
"Title","标题"
"Content","内容"
"Cancel","取消"
"Create Topic","新建话题"
"This topic is in","这个话题位于"
"Created at","新建于"
"Move Topic","移动话题"
"Choose a node","选择一个节点"
"Can't find a node?","找不到合适的节点？"
"Have anything in trouble?"
"Feedback","反馈"
"Hits","点击"
"Replies","回复"
"Last reply at","最后回复于"
"Reply at","回复于"
# topic voting
"Can't vote your own topic","不能对你自己的主题进行评分"
"Cancel your vote first","请先取消原来的评分"
"Anonymous","匿名"

# node
"View","查看"
"Create","新建"
"Follow","关注"
"Unfollow","取消关注"
"All Nodes","所有节点"
"Following Nodes","关注节点"

"Recent Nodes","最新节点"

"Community","社区"


# account
"You have %s chances to edit your username.","你有 %s 次机会修改用户名"
"Join at","加入"
"Send Message","发送私信"
"View Profile","查看资料"
"Edit Profile","编辑资料"
"Edit Avatar","修改头像"
"Current Avatar","当前头像"
"Reputation","积分"
"Important","重要"
"Delete all","全部清除"
"City","城市"
"Description","自我介绍"
"Change Password","修改密码"
"Change Avatar","修改头像"

#message
"Unread notification","未读信息"

#sidebar
"Latest News","最新信息"

# =========== python file ==========
# timesince
"%s minutes ago","%s分钟前"
"%s hours ago","%s小时前"
"%s days ago","%s天前"
"%s months ago","%s个月前"
"%s years ago","%s年前"
"just now","刚刚"

# topic/handlers.py
"reply not found","回复不存在"
"topic not found","话题不存在"
"permission denied","没有权限"

# ======= flash message ==========
"Save successful","保存成功"
# topic
"Please fill the required fields","请填写以下必填项"
"You have no permission to create a topic in this node","你没有权限在这个节点里新建话题"
"Password is required","需要填写密码"
"Topic is deleted","话题已删除"
#account
"Don't be evil","别闹了，没用的"
"This link is expired","这个链接已经失效了"
"Invalid account or password","帐户或密码错误"
"Google signin failed","Google 帐户登录失败"
"Your account is activated","你的帐户已经激活"
"Password doesn't match","密码不匹配"
"Not a valid email address","邮箱格式不正确"
"This email is already registered","该邮箱已注册"
"The username is already registered","该用户名已注册"
"Captcha not valid","验证码不正确"
"Invalid password","密码不正确"
"Invalid old password","原密码不正确"
"Username is invalid","用户名不正确"
"Username is not allowed","用户名不符合规定"
"Website is invalid","个人网站格式不正确"
"Username has been taken","用户名已被注册"
"You can't edit username","你不能编辑用户名了"
"User does not exists","用户不存在"
"Please check your inbox","请查收邮件"
"Password changed","密码已更改"


#===== formencode =====
"Missing value","不能为空,写点什么吧"
"Please enter a value","不能为空,写点什么吧"

#===== Common =====

"new","新建"
"edit","编辑"
"move","移动"
"delete","删除"
"more","更多"
"all","全部"
"year","年份"
"time","时间"
"about","关于"
"reset edit","重填"

"mine","主页"
"video","视频"
"music","音乐"
#===== Group =====
"group","小组"


#===== Note =====
"note","日记"
"new note","写日记"
"note permission","设置可见"
"note not allow reply","权限设置"
"all peoples can view","所有人可见"
"all friends can view","仅朋友可见"
"only me can view","仅自己可见"
"don't allow reply","不允许回复"



